board_type,sequence,sleeptime,run,start_time,device_tracking,making_code,Rhtr_RT,generalpurpose,VDDH,TCR_from_NVM,R_HTR_at_RT_from_NVM,RT_from_NVM,Humidity_HW,Temperature_HW,Temperature_ASIC,Temp1,Wait1,Temp2,Wait2,Rmox_Temp1,Rmox_Temp2,comment,EtOH (ppm),IAQ,TVOC (mg/m^3),eCO2 (ppm)
IDT HiCom,hard coded,0.0,1.0,2020-04-07T02:12:39.555000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,26.158999999999992,300.0,1.0,300.0,1.0,6417.362915116198,8171.249601868563,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,2.0,2020-04-07T02:12:41.604000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.495499999999993,300.0,1.0,300.0,1.0,9718.618575807257,11192.816906461914,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,3.0,2020-04-07T02:12:43.621000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.545000000000073,300.0,1.0,300.0,1.0,12703.020013004842,14066.912606538608,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,4.0,2020-04-07T02:12:45.636000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.61099999999999,300.0,1.0,300.0,1.0,15534.215003018164,16920.58525812092,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,5.0,2020-04-07T02:12:47.648000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.627500000000055,300.0,1.0,300.0,1.0,18269.152441959493,19535.52014297416,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,6.0,2020-04-07T02:12:49.670000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.693500000000085,300.0,1.0,300.0,1.0,20863.557211601474,22255.166048185056,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,7.0,2020-04-07T02:12:51.682000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.726499999999987,300.0,1.0,300.0,1.0,23553.000454614335,24914.643905041343,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,8.0,2020-04-07T02:12:53.702000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.726499999999987,300.0,1.0,300.0,1.0,26111.260053619302,27365.817033728632,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,9.0,2020-04-07T02:12:55.706000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.710000000000036,300.0,1.0,300.0,1.0,28670.731707317074,29896.684566892363,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,10.0,2020-04-07T02:12:57.735000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.743000000000052,300.0,1.0,300.0,1.0,30829.150145516338,32267.698897687304,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,11.0,2020-04-07T02:12:59.735000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.776000000000067,300.0,1.0,300.0,1.0,33535.790471675755,34574.41532937933,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,12.0,2020-04-07T02:13:01.762000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.759500000000003,300.0,1.0,300.0,1.0,35577.907463102754,36984.83604094469,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,13.0,2020-04-07T02:13:03.776000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.776000000000067,300.0,1.0,300.0,1.0,38008.24700794529,38849.17351201889,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,14.0,2020-04-07T02:13:05.785000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.841999999999985,300.0,1.0,300.0,1.0,39903.31995622036,40956.219087745005,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,15.0,2020-04-07T02:13:07.803000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.841999999999985,300.0,1.0,300.0,1.0,42213.92627746185,42896.78795586003,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,16.0,2020-04-07T02:13:09.824000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.85850000000005,300.0,1.0,300.0,1.0,44032.67677600132,45062.68100951593,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,17.0,2020-04-07T02:13:11.833000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.891500000000065,300.0,1.0,300.0,1.0,45978.78215375672,47217.69062271826,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,18.0,2020-04-07T02:13:13.842000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.908000000000015,300.0,1.0,300.0,1.0,47933.35006903477,48685.563225143196,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,19.0,2020-04-07T02:13:15.867000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.92450000000008,300.0,1.0,300.0,1.0,49879.647584520695,50610.217496988014,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,20.0,2020-04-07T02:13:17.880000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.94100000000003,300.0,1.0,300.0,1.0,51411.39804096171,52373.75779371396,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,21.0,2020-04-07T02:13:19.895000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.94100000000003,300.0,1.0,300.0,1.0,53219.54656077879,54008.60776840392,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,22.0,2020-04-07T02:13:21.906000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.974000000000046,300.0,1.0,300.0,1.0,54626.23140815144,55858.723073937515,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,23.0,2020-04-07T02:13:23.923000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,27.974000000000046,300.0,1.0,300.0,1.0,56318.11996457654,56958.16914216429,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,24.0,2020-04-07T02:13:25.944000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.023500000000013,300.0,1.0,300.0,1.0,58002.65182802243,58539.66110554515,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,25.0,2020-04-07T02:13:27.959000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.023500000000013,300.0,1.0,300.0,1.0,58996.64019547954,59868.017860269654,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,26.0,2020-04-07T02:13:29.962000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.056500000000028,300.0,1.0,300.0,1.0,60608.388385312646,61687.67352694901,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,27.0,2020-04-07T02:13:32.000000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.056500000000028,300.0,1.0,300.0,1.0,62155.438813349814,62811.81546631265,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,28.0,2020-04-07T02:13:33.997000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.105999999999995,300.0,1.0,300.0,1.0,63586.659861983266,64097.547962563636,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,29.0,2020-04-07T02:13:36.026000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.12250000000006,300.0,1.0,300.0,1.0,64647.04965139331,65118.93073902178,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,30.0,2020-04-07T02:13:38.030000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.13900000000001,300.0,1.0,300.0,1.0,65592.4361295514,66519.54517930432,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,31.0,2020-04-07T02:13:40.039000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.172000000000025,300.0,1.0,300.0,1.0,67172.24170488266,67709.13104193883,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,32.0,2020-04-07T02:13:42.067000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.172000000000025,300.0,1.0,300.0,1.0,68279.50436725574,69028.92187924324,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,33.0,2020-04-07T02:13:44.082000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.172000000000025,300.0,1.0,300.0,1.0,68921.61520190023,69877.65015662595,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,34.0,2020-04-07T02:13:46.086000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.172000000000025,300.0,1.0,300.0,1.0,70699.6015936255,70789.09612625538,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,35.0,2020-04-07T02:13:48.098000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.238000000000056,300.0,1.0,300.0,1.0,71500.68493150685,71970.63599149267,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,36.0,2020-04-07T02:13:50.123000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.20500000000004,300.0,1.0,300.0,1.0,72390.40813522055,73383.43790939805,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,37.0,2020-04-07T02:13:52.132000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.221499999999992,300.0,1.0,300.0,1.0,73650.73157265114,73592.01416841088,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,38.0,2020-04-07T02:13:54.139000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.238000000000056,300.0,1.0,300.0,1.0,74370.35841136584,75179.3685671331,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,39.0,2020-04-07T02:13:56.159000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.238000000000056,300.0,1.0,300.0,1.0,75608.75608061154,75959.83022937589,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,40.0,2020-04-07T02:13:58.179000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.287500000000023,300.0,1.0,300.0,1.0,76245.29878813206,76804.605722261,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,41.0,2020-04-07T02:14:00.193000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.287500000000023,300.0,1.0,300.0,1.0,77594.00074640791,77741.6569428238,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,42.0,2020-04-07T02:14:02.207000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.304000000000087,300.0,1.0,300.0,1.0,78300.09119180677,79301.25061592247,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,43.0,2020-04-07T02:14:04.218000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.287500000000023,300.0,1.0,300.0,1.0,79409.90071121752,79328.40549102428,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,44.0,2020-04-07T02:14:06.230000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.304000000000087,300.0,1.0,300.0,1.0,80083.99209486166,80022.58132806436,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,45.0,2020-04-07T02:14:08.248000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.287500000000023,300.0,1.0,300.0,1.0,80446.16145673835,81627.75846164762,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,46.0,2020-04-07T02:14:10.258000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.304000000000087,300.0,1.0,300.0,1.0,82056.04377383519,82839.87269618089,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,47.0,2020-04-07T02:14:12.271000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.33699999999999,300.0,1.0,300.0,1.0,82812.05471644342,82999.92870891851,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,48.0,2020-04-07T02:14:14.294000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.33699999999999,300.0,1.0,300.0,1.0,83195.01581337836,83083.50566925765,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,49.0,2020-04-07T02:14:16.309000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.353500000000054,300.0,1.0,300.0,1.0,83928.91198626871,84378.04412186038,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,50.0,2020-04-07T02:14:18.317000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.40300000000002,300.0,1.0,300.0,1.0,84927.28316509591,85471.49464401256,,0.0,0.0,0.0,400.0
IDT HiCom,hard coded,0.0,51.0,2020-04-07T02:14:20.333000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.370000000000005,300.0,1.0,300.0,1.0,85513.9850921554,85450.25400172529,,0.0014100646058341046,0.22608861804065528,0.0026509214589681166,400.0390886257883
IDT HiCom,hard coded,0.0,52.0,2020-04-07T02:14:22.343000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.40300000000002,300.0,1.0,300.0,1.0,86145.69822741029,86715.8396303605,,0.0010575484543755786,0.16956646353049146,0.0019881910942260873,400.06648942596223
IDT HiCom,hard coded,0.0,53.0,2020-04-07T02:14:24.356000,x0000463C53845B75,x2310,22.325343738902706,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0801431274414064,0.00280078125,21.7559814453125,21.5,,,28.419500000000085,300.0,1.0,300.0,1.0,86944.51134338423,87596.72708841205,,0.0007931613407816839,0.1271748476478686,0.0014911433206695654,400.08521558945915
