board_type,sequence,sleeptime,run,start_time,device_tracking,making_code,Rhtr_RT,generalpurpose,VDDH,TCR_from_NVM,R_HTR_at_RT_from_NVM,RT_from_NVM,Humidity_HW,Temperature_HW,Temperature_ASIC,Temp1,Wait1,Temp2,Wait2,Rmox_Temp1,Rmox_Temp2,comment,EtOH (ppm),IAQ,TVOC (mg/m^3),eCO2 (ppm)
IDT HiCom,hard coded,0.0,1.0,2020-04-08T16:08:29.780000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,26.918000000000006,300.0,1.0,300.0,1.0,2259.425030125667,2867.7232235342863,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,2.0,2020-04-08T16:08:31.814000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.221499999999992,300.0,1.0,300.0,1.0,3387.1553917242095,3857.1874566393785,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,3.0,2020-04-08T16:08:33.828000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.33699999999999,300.0,1.0,300.0,1.0,4321.843875475831,4769.817630767623,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,4.0,2020-04-08T16:08:35.856000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.370000000000005,300.0,1.0,300.0,1.0,5208.398785213111,5629.918505823511,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,5.0,2020-04-08T16:08:37.864000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.38650000000007,300.0,1.0,300.0,1.0,6083.382986926501,6512.1424432386875,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,6.0,2020-04-08T16:08:39.887000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.40300000000002,300.0,1.0,300.0,1.0,6923.5235129571965,7347.964040190375,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,7.0,2020-04-08T16:08:41.888000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.436000000000035,300.0,1.0,300.0,1.0,7785.608308605341,8201.847526014015,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,8.0,2020-04-08T16:08:43.905000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.485500000000002,300.0,1.0,300.0,1.0,8662.32775896008,9097.499866730635,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,9.0,2020-04-08T16:08:45.918000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.46900000000005,300.0,1.0,300.0,1.0,9487.512683126546,9910.28910806328,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,10.0,2020-04-08T16:08:47.937000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.485500000000002,300.0,1.0,300.0,1.0,10291.395697848924,10705.425385290064,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,11.0,2020-04-08T16:08:49.947000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.502000000000066,300.0,1.0,300.0,1.0,11140.843302186273,11558.075181484943,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,12.0,2020-04-08T16:08:51.964000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.518500000000017,300.0,1.0,300.0,1.0,11992.870388707848,12481.550314862598,,0.0,0.0,0.0,0.0
IDT HiCom,hard coded,0.0,13.0,2020-04-08T16:08:53.988000,x0000463C53845B75,x2310,22.379286332563925,"[200, 2, 167, 6, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0800789794921877,0.00280078125,21.7559814453125,21.5,,,28.535000000000082,300.0,1.0,300.0,1.0,12867.600542250339,13238.824615718864,,0.0,0.0,0.0,0.0
